,Home Spread,Home_win,Away-ATS
0,4.0,1.0,73
1,3.5,1.0,72
2,-2.5,0.0,36
3,-5.5,1.0,37
4,-3.5,1.0,48
5,3.5,1.0,56
6,4.0,0.0,65
7,10.0,0.0,62
8,-13.5,0.0,29
9,14.0,1.0,74
10,-10.0,0.0,45
11,-6.0,1.0,41
12,-3.0,0.0,39
13,-2.5,1.0,54
14,-2.5,0.0,46
15,-2.0,0.0,53
16,7.5,0.0,80
17,1.0,1.0,39
18,-6.5,1.0,40
19,-10.0,1.0,30
20,-3.0,1.0,26
21,4.0,1.0,51
22,-13.0,0.0,20
23,-5.5,1.0,37
24,7.0,0.0,43
25,-10.0,0.0,20
26,-5.5,1.0,39
27,4.5,1.0,74
28,-5.5,1.0,39
29,-2.5,1.0,61
30,-6.5,0.0,30
31,-4.0,0.0,38
32,1.0,1.0,61
33,-4.0,1.0,38
34,9.5,0.0,69
35,-4.5,0.0,33
36,9.0,1.0,59
37,3.0,0.0,70
38,-16.5,0.0,37
39,2.5,0.0,55
40,-3.5,1.0,42
41,10.0,1.0,59
42,3.0,1.0,60
43,0.0,0.0,62
44,-6.0,0.0,38
45,-3.0,1.0,31
46,-4.5,1.0,58
47,2.5,1.0,57
48,2.5,0.0,73
49,-1.5,0.0,42
50,4.0,0.0,68
51,-6.5,1.0,41
52,1.0,1.0,60
53,2.5,1.0,51
54,-2.5,1.0,67
55,1.0,0.0,53
56,-6.0,0.0,38
57,10.5,1.0,70
58,-3.5,0.0,40
59,2.5,0.0,60
60,7.0,,72
61,-1.5,0.0,45
62,-4.5,1.0,39
63,-1.0,1.0,40
64,-7.5,1.0,48
65,-3.0,1.0,51
66,-8.5,0.0,44
67,-3.0,1.0,58
68,-2.5,0.0,41
69,-5.5,1.0,49
70,2.5,0.0,54
71,-7.5,0.0,47
72,-9.0,1.0,39
73,2.5,1.0,72
74,-13.5,0.0,51
75,7.5,1.0,68
76,-2.5,1.0,48
77,-12.5,1.0,23
78,-3.5,1.0,38
79,-10.5,1.0,45
80,-16.5,0.0,26
81,-4.0,1.0,57
82,6.5,0.0,59
83,-2.5,0.0,51
84,2.5,0.0,42
85,-1.0,0.0,55
86,3.0,,63
87,6.0,1.0,63
88,7.0,1.0,78
89,-11.5,0.0,51
90,-4.0,0.0,37
91,-13.5,0.0,36
92,8.5,0.0,55
93,-7.0,,33
94,-13.5,0.0,42
95,3.0,0.0,61
96,-3.0,0.0,33
97,-9.5,0.0,42
98,-2.0,,39
99,6.5,0.0,62
100,3.0,0.0,65
101,-10.0,0.0,56
102,14.0,0.0,53
103,1.0,1.0,63
104,-6.5,0.0,51
105,3.5,0.0,57
106,3.0,1.0,73
107,6.5,0.0,60
108,5.5,1.0,58
109,-5.5,1.0,66
110,-10.0,0.0,22
111,-5.0,1.0,50
112,-3.0,1.0,24
113,-11.0,1.0,39
114,-10.5,1.0,43
115,-3.0,1.0,48
116,-4.5,0.0,44
117,2.5,1.0,49
118,9.0,0.0,73
119,-10.0,0.0,35
120,-7.5,0.0,50
121,-7.5,0.0,36
122,-14.0,1.0,41
123,-7.5,0.0,33
124,-7.0,1.0,27
125,2.5,1.0,60
126,-5.5,1.0,36
127,-14.0,1.0,32
128,6.0,0.0,76
129,-7.0,0.0,57
130,-14.0,0.0,41
131,-6.0,0.0,54
132,7.0,0.0,71
133,-10.5,1.0,40
134,5.5,0.0,74
135,-7.5,1.0,43
136,-16.5,1.0,42
137,-5.5,1.0,38
138,-5.0,0.0,39
139,5.0,1.0,72
140,-13.5,0.0,30
141,3.5,0.0,64
142,-8.0,0.0,42
143,2.0,0.0,68
144,-5.0,1.0,55
145,6.0,1.0,75
146,-2.5,1.0,50
147,-6.5,1.0,39
148,-3.0,0.0,58
149,6.5,0.0,71
150,2.5,0.0,63
151,-4.5,0.0,52
152,-1.5,0.0,53
153,-2.5,0.0,49
154,-8.5,0.0,42
155,-6.0,0.0,52
156,-3.0,0.0,71
157,-6.5,0.0,53
158,-8.5,0.0,46
159,-6.5,0.0,42
160,-4.5,1.0,58
161,-7.0,1.0,52
162,2.5,1.0,57
163,-13.5,1.0,31
164,-4.0,1.0,52
165,-8.5,0.0,42
166,-7.0,0.0,37
167,-5.5,0.0,62
168,-3.0,0.0,46
169,-3.0,0.0,46
170,-8.0,0.0,40
171,3.0,1.0,55
172,3.0,1.0,70
173,-5.0,1.0,27
174,8.0,0.0,84
175,-1.5,0.0,71
176,-6.0,1.0,35
177,-3.0,1.0,44
178,-1.5,0.0,54
179,10.0,0.0,62
180,-1.0,0.0,67
181,2.0,1.0,44
182,-5.0,1.0,43
183,-7.0,1.0,30
184,6.0,0.0,61
185,-7.0,1.0,36
186,-5.5,1.0,55
187,3.0,1.0,49
188,-6.0,0.0,50
189,-3.0,,38
190,-8.0,0.0,61
191,2.5,0.0,40
192,-2.5,1.0,49
193,3.0,,69
194,-4.5,0.0,34
195,2.5,0.0,69
196,-3.5,1.0,52
197,6.0,,66
198,-7.0,0.0,44
199,5.5,1.0,73
200,6.0,0.0,67
201,-3.5,0.0,48
202,6.5,1.0,78
203,-3.0,,54
204,-7.0,1.0,44
205,-16.0,0.0,23
206,10.0,0.0,80
207,-12.5,1.0,27
208,-9.5,0.0,51
209,-7.5,0.0,33
210,1.0,0.0,44
211,-4.5,0.0,41
212,10.5,1.0,70
213,-5.0,0.0,54
214,-1.0,1.0,62
215,-4.5,0.0,42
216,2.0,0.0,46
217,-10.5,1.0,26
218,-13.0,1.0,34
219,-3.5,1.0,60
